Player,Team,Points,Cost,Roule
Scannell,Huddersfield,0,4.5,MID
Thomas,Leicester,0,4.5,MID
Barnes,Leicester,2,4.5,MID
Jones,Liverpool,0,4.5,MID
Camacho,Liverpool,0,4.5,MID
Delph,Man City,54,4.5,MID
Ireland,Stoke,3,4.5,MID
Sobhi,Stoke,51,4.5,MID
Sorenson,Stoke,0,4.5,MID
Oakley-Boothe,Spurs,0,4.5,MID
Stewart,Watford,0,4.5,MID
Ndong,Watford,0,4.5,MID
Leko,West Brom,0,4.5,MID
Harper,West Brom,1,4.5,MID
Cullen,West Ham,2,4.5,MID
Browne,West Ham,0,4.5,MID
Diangana,West Ham,0,4.5,MID
Kayal,Brighton,24,4.4,MID
Marney,Burnley,0,4.4,MID
Lumeka,Crystal Palace,1,4.4,MID
Loftus-Cheek,Crystal Palace,74,4.4,MID
Puncheon,Crystal Palace,11,4.4,MID
McArthur,Crystal Palace,99,4.4,MID
van La Parra,Huddersfield,74,4.4,MID
Hogg,Huddersfield,51,4.4,MID
Billing,Huddersfield,21,4.4,MID
Choudhury,Leicester,13,4.4,MID
James,Leicester,26,4.4,MID
Britton,Swansea,9,4.4,MID
Dyer,Swansea,39,4.4,MID
Barry,West Brom,56,4.4,MID
Field,West Brom,23,4.4,MID
Quina,West Ham,0,4.4,MID
Johnson,West Ham,0,4.4,MID
Surman,Bournemouth,80,4.3,MID
Lewis Cook,Bournemouth,58,4.3,MID
Westwood,Burnley,29,4.3,MID
Scott,Chelsea,0,4.3,MID
Lokilo,Crystal Palace,0,4.3,MID
Amartey,Leicester,13,4.3,MID
Hayden,Newcastle,40,4.3,MID
Hojbjerg,Southampton,38,4.3,MID
Sims,Southampton,8,4.3,MID
Sanches,Swansea,20,4.3,MID
Carroll,Swansea,83,4.3,MID
Yacob,West Brom,23,4.3,MID
Fernandes,West Ham,24,4.3,MID
Elneny,Arsenal,22,4.2,MID
Sidwell,Brighton,0,4.2,MID
Lee Chung-yong,Crystal Palace,7,4.2,MID
Whitehead,Huddersfield,3,4.2,MID
Woodburn,Liverpool,0,4.2,MID
Carrick,Man Utd,1,4.2,MID
McTominay,Man Utd,19,4.2,MID
Oriol Romeu,Southampton,66,4.2,MID
King,Swansea,45,4.2,MID
Chalobah,Watford,12,4.2,MID
Obiang,West Ham,53,4.2,MID
Kane,Spurs,205,13.1,FOR
Aguero,Man City,169,11.5,FOR
Lukaku,Man Utd,162,11.5,FOR
Aubameyang,Arsenal,79,10.7,FOR
Morata,Chelsea,121,10.4,FOR
Jesus,Man City,121,10.4,FOR
Lacazette,Arsenal,136,10.3,FOR
Firmino,Liverpool,179,9.4,FOR
Vardy,Leicester,170,8.8,FOR
Giroud,Chelsea,75,8.3,FOR
Sturridge,West Brom,31,7.9,FOR
Defoe,Bournemouth,56,7.6,FOR
Benteke,Crystal Palace,83,7.5,FOR
Welbeck,Arsenal,69,7.3,FOR
Rashford,Man Utd,96,7.3,FOR
Llorente,Spurs,22,7.3,FOR
Rooney,Everton,113,7.1,FOR
King,Bournemouth,103,7.0,FOR
Tosun,Everton,53,6.7,FOR
Chicharito,West Ham,93,6.7,FOR
Slimani,Newcastle,25,6.6,FOR
Iheanacho,Leicester,48,6.5,FOR
Gray,Watford,77,6.3,FOR
Deeney,Watford,72,6.3,FOR
Wood,Burnley,95,6.2,FOR
Gabbiadini,Southampton,66,6.2,FOR
Gayle,Newcastle,88,6.1,FOR
Locadia,Brighton,15,6.0,FOR
Rondon,West Brom,101,6.0,FOR
Murray,Brighton,110,5.9,FOR
Carrillo,Southampton,15,5.9,FOR
Austin,Southampton,70,5.8,FOR
Vokes,Burnley,62,5.7,FOR
Carroll,West Ham,36,5.7,FOR
Wilson,Bournemouth,94,5.6,FOR
Long,Southampton,52,5.6,FOR
Bony,Swansea,33,5.6,FOR
Mounie,Huddersfield,90,5.5,FOR
Joselu,Newcastle,68,5.5,FOR
Berahino,Stoke,20,5.5,FOR
Barnes,Burnley,92,5.4,FOR
Sorloth,Crystal Palace,8,5.4,FOR
Wickham,Crystal Palace,0,5.4,FOR
Ings,Liverpool,17,5.4,FOR
Perez,Newcastle,111,5.4,FOR
Jordan Ayew,Swansea,106,5.4,FOR
Abraham,Swansea,85,5.4,FOR
Okazaki,Leicester,76,5.3,FOR
Okaka,Watford,24,5.3,FOR
